Date,Open,High,Low,Close,Adj Close,Volume
2011-06-06,7.972500,7.975000,7.866250,7.892500,6.203941,7798400
2011-06-13,7.976250,8.022500,7.652500,7.703750,6.055573,58132000
2011-06-20,7.582500,7.947500,7.537500,7.795000,6.127301,47992800
2011-06-27,7.873750,8.267500,7.863750,8.258750,6.491834,40237600
2011-07-04,8.312500,8.565000,8.252500,8.401250,6.603847,50180000
2011-07-11,8.248750,8.252500,7.612500,7.673750,6.031991,109941600
2011-07-18,7.621250,8.000000,7.507500,7.952500,6.251104,56688800
2011-07-25,7.870000,7.925000,7.703750,7.777500,6.113545,69003200
2011-08-01,7.907500,7.946250,7.046250,7.173750,5.638964,111920800
2011-08-08,6.862500,6.938750,6.555000,6.722500,5.284257,119905600
2011-08-15,6.758750,6.826250,5.916250,5.945000,4.673099,114990400
2011-08-22,6.060000,6.245000,5.811250,6.051250,4.756616,88303200
2011-08-29,6.218750,6.530000,6.187500,6.198750,4.872561,71576800
2011-09-05,6.136250,6.292500,5.883750,5.896250,4.634778,69824800
2011-09-12,5.788750,6.420000,5.766250,6.330000,4.975729,84672800
2011-09-19,6.173750,6.346250,5.765000,6.028750,4.738930,74252800
2011-09-26,6.035000,6.643750,5.912500,6.383750,5.017980,111959200
2011-10-03,6.300000,6.633750,6.051250,6.535000,5.136871,90469600
2011-10-10,6.651250,7.295000,6.426250,7.125000,5.600644,120096000
2011-10-17,7.062500,7.063750,6.746250,6.946250,5.460135,67796000
2011-10-24,6.986250,7.685000,6.941250,7.530000,5.951306,86396800
2011-10-31,7.410000,7.425000,7.085000,7.260000,5.737913,79121600
2011-11-07,7.266250,7.307500,6.952500,7.151250,5.651963,49722400
2011-11-14,7.088750,7.092500,6.626250,6.636250,5.244934,62280000
2011-11-21,6.392500,6.465000,6.150000,6.246250,4.936699,58803200
2011-11-28,6.365000,6.661250,6.272500,6.601250,5.217273,69362400
2011-12-05,6.712500,6.728750,6.315000,6.561250,5.185658,57942400
